,Subsistema,Data,ENA_Bruta[MWmed],ENA_Bruta[%MLT],ENA_Armazenavel[MWmed],ENA_Armazenavel[%MLT],EAR_max,EAR[MWmes],EAR[%max],Carga_Diaria[MWmed],CMO_semanal[R$/MWh],CMO_leve[R$/MWh],CMO_media[R$/MWh],CMO_pesada[R$/MWh],Diferenca_CMO [R$/MWh],Razao_CMO
0,Sudeste,2023-05-02,48473.2578125,121.45279694,35527.921875,89.01740265,204615.328125,176293.96875,86.15869904,40732.21083333,,,,,,
1,Sul,2023-05-02,4514.1328125,52.99779892,4302.37207031,50.51169968,20459.2421875,17120.06835938,83.67890167,13033.73408333,,,,,,
2,Nordeste,2023-05-02,4596.83984375,66.23480225,4587.54492188,66.10089874,51691.2265625,47036.90625,90.99590302,12121.54270833,,,,,,
3,Norte,2023-05-02,23127.91992188,113.56719971,15596.2578125,76.58380127,15302.39648438,15044.59472656,98.31529999,7120.412875,,,,,,
4,Sudeste,2023-05-01,49685.98828125,124.49130249,31941.66015625,80.03179932,204615.328125,176441.796875,86.23100281,34889.84195833,,,,,,
5,Sul,2023-05-01,4759.59082031,55.87960052,4196.79394531,49.27209854,20459.2421875,17187.48828125,84.00839996,10072.18629167,,,,,,
6,Nordeste,2023-05-01,4482.23779297,64.58350372,4461.50292969,64.28479767,51691.2265625,47046.16796875,91.01380157,10678.08725,,,,,,
7,Norte,2023-05-01,23552.43554688,115.65170288,15772.39453125,77.44869995,15302.39648438,15098.11328125,98.66500092,6571.35258333,,,,,,
8,Sudeste,2023-04-30,51014.5078125,93.17680359,32112.38476563,58.65250015,204615.328125,176401.640625,86.21140289,34584.09745833,,,,,,
9,Sul,2023-04-30,5107.27783203,78.51270294,4844.18115234,74.46820068,20459.2421875,17196.07421875,84.05039978,9635.52716667,,,,,,
10,Nordeste,2023-04-30,4439.37304688,38.63069916,4420.78320313,38.46889877,51691.2265625,47074.09375,91.06790161,11049.48595833,,,,,,
11,Norte,2023-04-30,24059.86523438,89.21690369,16730.60742188,62.03910065,15302.39648438,15065.07910156,98.44920349,6830.58925,,,,,,
12,Sul,2023-04-29,5558.62011719,85.45110321,5203.17822266,79.98699951,20459.2421875,17183.20117188,83.98750305,11012.29058333,0.0,0.0,0.0,0.0,0.0,0.0
13,Norte,2023-04-29,24506.57226563,90.87329865,17543.97070313,65.05519867,15302.39648438,14996.31347656,97.99980164,7139.14370833,0.0,0.0,0.0,0.0,0.0,0.0
14,Nordeste,2023-04-29,4434.69921875,38.59000015,4423.97412109,38.49670029,51691.2265625,47102.56640625,91.12290192,11854.94475,0.0,0.0,0.0,0.0,0.0,0.0
15,Sudeste,2023-04-29,52400.80078125,95.70880127,34929.64453125,63.79809952,204615.328125,176315.453125,86.16919708,38139.37233333,0.0,0.0,0.0,0.0,0.0,0.0
16,Sudeste,2023-04-28,53724.859375,98.12709808,39116.82421875,71.44589996,204615.328125,176424.25,86.22239685,41438.34016667,,,,,,
17,Sul,2023-04-28,6061.60009766,93.18319702,5920.47607422,91.01380157,20459.2421875,17181.69140625,83.98010254,12247.45679167,,,,,,
18,Nordeste,2023-04-28,4414.45410156,38.41389847,4407.30419922,38.35160065,51691.2265625,47129.37890625,91.17479706,11942.62125,,,,,,
19,Norte,2023-04-28,24884.140625,92.27339935,18524.37109375,68.69059753,15302.39648438,14965.52148438,97.79850006,7248.20841667,,,,,,
20,Sudeste,2023-04-27,55027.57421875,100.50650024,41404.85546875,75.625,204615.328125,176624.28125,86.32019806,42256.21995833,,,,,,
21,Sul,2023-04-27,6538.15576172,100.50920105,6169.296875,94.83879852,20459.2421875,17232.78320313,84.22979736,12578.76866667,,,,,,
22,Nordeste,2023-04-27,4323.00585938,37.61809921,4307.27587891,37.48120117,51691.2265625,47115.09375,91.14720154,11955.8535,,,,,,
23,Norte,2023-04-27,25268.23632813,93.6977005,17975.93554688,66.65699768,15302.39648438,14969.20605469,97.82260132,7089.549875,,,,,,
24,Sudeste,2023-04-26,56173.89453125,102.60019684,41878.98828125,76.49089813,204615.328125,176580.21875,86.29859924,41222.18295833,,,,,,
25,Sul,2023-04-26,6835.11279297,105.07420349,4295.60205078,66.03500366,20459.2421875,17289.67382813,84.50789642,12626.73879167,,,,,,
26,Nordeste,2023-04-26,4247.48486328,36.96089935,4229.60986328,36.80540085,51691.2265625,47102.125,91.12210083,11822.07433333,,,,,,
27,Norte,2023-04-26,25563.44921875,94.79239655,16777.39648438,62.21260071,15302.39648438,14986.078125,97.93289948,6949.30725,,,,,,
28,Sul,2023-04-25,7150.46191406,109.92199707,4890.04492188,75.17320251,20459.2421875,17330.06054688,84.70529938,12557.10004167,,,,,,
29,Norte,2023-04-25,25820.640625,95.74610138,15858.12207031,58.80379868,15302.39648438,15016.171875,98.12950134,6983.433125,,,,,,
